Input name,State of optimization,time for just solving,time overall,was successful?,max distance
prop_000_0.015.vnnlib,wrong classification,,,,
prop_001_0.015.vnnlib,finished,1.03814482688904,655.972285985947,True,-5.36778794939524
prop_002_0.015.vnnlib,time_out of DHOV,-,3600.00000739098,False,
prop_003_0.015.vnnlib,time_out of DHOV,-,3600,False,
prop_004_0.015.vnnlib,time_out of DHOV,-,3600,False,
prop_005_0.015.vnnlib,time_out of DHOV,-,3600.08052039146,False,
prop_006_0.015.vnnlib,time_out of DHOV,-,3600.07745981216,False,
prop_007_0.015.vnnlib,finished,0.834038257598877,497.386824846268,True,-6.58996050555179
prop_008_0.015.vnnlib,time_out of DHOV,-,3600.09015870094,False,
prop_009_0.015.vnnlib,time_out of DHOV,-,3600.16809821129,False,
prop_010_0.015.vnnlib,time_out of DHOV,-,3600.34840726852,False,
prop_011_0.015.vnnlib,time_out of DHOV,-,3600.10711121559,False,
prop_012_0.015.vnnlib,finished,1.68841958045959,904.350274801254,True,-4.95419687103144
prop_013_0.015.vnnlib,time_out of DHOV,-,3600.08546233177,False,
prop_014_0.015.vnnlib,time_out of DHOV,-,3600.09559130669,False,
prop_015_0.015.vnnlib,time_out of DHOV,-,3600.34687852859,False,
prop_016_0.015.vnnlib,time_out of DHOV,-,3600.08069229126,False,
prop_017_0.015.vnnlib,time_out of DHOV,-,3600.07238221169,False,
prop_018_0.015.vnnlib,time_out of DHOV,-,2012.68058943748,False,
prop_019_0.015.vnnlib,time_out of DHOV,-,2699.49266529083,False,
prop_020_0.015.vnnlib,time_out of DHOV,-,1922.15170693398,False,
prop_021_0.015.vnnlib,time_out of DHOV,-,2133.19343209267,False,
prop_022_0.015.vnnlib,time_out of DHOV,-,2355.8516728878,False,
prop_023_0.015.vnnlib,time_out of DHOV,-,940.562073945999,False,
prop_024_0.015.vnnlib,wrong classification,,,,
prop_025_0.015.vnnlib,time_out of DHOV,-,2262.73745799065,False,
